Taxa de analfabetismo - pessoas com 15 anos ou mais (Atlas DH - Censo)
Sigla;Código;Município;2022;
AC;1200013;Acrelândia;11,65;
AC;1200054;Assis Brasil;14,7;
AC;1200104;Brasiléia;10,99;
AC;1200138;Bujari;18,74;
AC;1200179;Capixaba;15,73;
AC;1200203;Cruzeiro do Sul;13,76;
AC;1200252;Epitaciolândia;11,22;
AC;1200302;Feijó;22,65;
AC;1200328;Jordão;18,12;
AC;1200336;Mâncio Lima;15,73;
AC;1200344;Manoel Urbano;22,16;
AC;1200351;Marechal Thaumaturgo;22,83;
AC;1200385;Plácido de Castro;15,62;
AC;1200393;Porto Walter;18,9;
AC;1200401;Rio Branco;6,95999999999999;
AC;1200427;Rodrigues Alves;20,04;
AC;1200435;Santa Rosa do Purus;22,6;
AC;1200450;Senador Guiomard;12,96;
AC;1200500;Sena Madureira;17,59;
AC;1200609;Tarauacá;21,49;
AC;1200708;Xapuri;14,61;
AC;1200807;Porto Acre;16,02;
AL;2700102;Água Branca;22,89;
AL;2700201;Anadia;28,72;
AL;2700300;Arapiraca;15,26;
AL;2700409;Atalaia;24,48;
AL;2700508;Barra de Santo Antônio;21,29;
AL;2700607;Barra de São Miguel;14,55;
AL;2700706;Batalha;23,3;
AL;2700805;Belém;23,97;
AL;2700904;Belo Monte;27,05;
AL;2701001;Boca da Mata;22,92;
AL;2701100;Branquinha;32,9;
AL;2701209;Cacimbinhas;29,97;
AL;2701308;Cajueiro;27,44;
AL;2701357;Campestre;23,29;
AL;2701407;Campo Alegre;21,56;
AL;2701506;Campo Grande;32,58;
AL;2701605;Canapi;29,9;
AL;2701704;Capela;23,8;
AL;2701803;Carneiros;22,27;
AL;2701902;Chã Preta;27,06;
AL;2702009;Coité do Nóia;28,34;
AL;2702108;Colônia Leopoldina;25,88;
AL;2702207;Coqueiro Seco;18,54;
AL;2702306;Coruripe;18,23;
AL;2702355;Craíbas;28,91;
AL;2702405;Delmiro Gouveia;17,48;
AL;2702504;Dois Riachos;27,27;
AL;2702553;Estrela de Alagoas;34,2;
AL;2702603;Feira Grande;30,44;
AL;2702702;Feliz Deserto;24,37;
AL;2702801;Flexeiras;25,23;
AL;2702900;Girau do Ponciano;30,24;
AL;2703007;Ibateguara;29,78;
AL;2703106;Igaci;28,99;
AL;2703205;Igreja Nova;27,99;
AL;2703304;Inhapi;28,69;
AL;2703403;Jacaré dos Homens;23,77;
AL;2703502;Jacuípe;24,12;
AL;2703601;Japaratinga;19,94;
AL;2703700;Jaramataia;31,24;
AL;2703759;Jequiá da Praia;20,74;
AL;2703809;Joaquim Gomes;30,61;
AL;2703908;Jundiá;27,7;
AL;2704005;Junqueiro;25,1;
AL;2704104;Lagoa da Canoa;27,56;
AL;2704203;Limoeiro de Anadia;26,21;
AL;2704302;Maceió;8,42;
AL;2704401;Major Isidoro;27,55;
AL;2704500;Maragogi;18,88;
AL;2704609;Maravilha;27,87;
AL;2704708;Marechal Deodoro;13,47;
AL;2704807;Maribondo;22,6;
AL;2704906;Mar Vermelho;20,76;
AL;2705002;Mata Grande;31,08;
AL;2705101;Matriz de Camaragibe;23,34;
AL;2705200;Messias;21;
AL;2705309;Minador do Negrão;32,52;
AL;2705408;Monteirópolis;26,46;
AL;2705507;Murici;23,65;
AL;2705606;Novo Lino;26,67;
AL;2705705;Olho d'Água das Flores;20,05;
AL;2705804;Olho d'Água do Casado;24,76;
AL;2705903;Olho d'Água Grande;32,12;
AL;2706000;Olivença;27,32;
AL;2706109;Ouro Branco;23,45;
AL;2706208;Palestina;21,92;
AL;2706307;Palmeira dos Índios;18,83;
AL;2706406;Pão de Açúcar;24,12;
AL;2706422;Pariconha;22,24;
AL;2706448;Paripueira;15,52;
AL;2706505;Passo de Camaragibe;23,75;
AL;2706604;Paulo Jacinto;25,11;
AL;2706703;Penedo;17,95;
AL;2706802;Piaçabuçu;22,83;
AL;2706901;Pilar;17,49;
AL;2707008;Pindoba;23,36;
AL;2707107;Piranhas;20,76;
AL;2707206;Poço das Trincheiras;26,73;
AL;2707305;Porto Calvo;21,13;
AL;2707404;Porto de Pedras;22,08;
AL;2707503;Porto Real do Colégio;27,31;
AL;2707602;Quebrangulo;25,11;
AL;2707701;Rio Largo;13,14;
AL;2707800;Roteiro;25,03;
AL;2707909;Santa Luzia do Norte;14,7;
AL;2708006;Santana do Ipanema;20,97;
AL;2708105;Santana do Mundaú;27,83;
AL;2708204;São Brás;25,34;
AL;2708303;São José da Laje;25,42;
AL;2708402;São José da Tapera;26,99;
AL;2708501;São Luís do Quitunde;24,72;
AL;2708600;São Miguel dos Campos;15,88;
AL;2708709;São Miguel dos Milagres;18,01;
AL;2708808;São Sebastião;28,03;
AL;2708907;Satuba;9,58;
AL;2708956;Senador Rui Palmeira;25,58;
AL;2709004;Tanque d'Arca;29,74;
AL;2709103;Taquarana;25,9;
AL;2709152;Teotônio Vilela;21,59;
AL;2709202;Traipu;32,69;
AL;2709301;União dos Palmares;23,23;
AL;2709400;Viçosa;24,86;
AM;1300029;Alvarães;12,37;
AM;1300060;Amaturá;14,87;
AM;1300086;Anamã;12,24;
AM;1300102;Anori;13,18;
AM;1300144;Apuí;8,19;
AM;1300201;Atalaia do Norte;22,82;
AM;1300300;Autazes;10,13;
AM;1300409;Barcelos;21,29;
AM;1300508;Barreirinha;6,04000000000001;
AM;1300607;Benjamin Constant;12,7;
AM;1300631;Beruri;17,01;
AM;1300680;Boa Vista do Ramos;4,37;
AM;1300706;Boca do Acre;19,84;
AM;1300805;Borba;11,12;
AM;1300839;Caapiranga;8,29000000000001;
AM;1300904;Canutama;18,89;
AM;1301001;Carauari;18,01;
AM;1301100;Careiro;12,94;
AM;1301159;Careiro da Várzea;12,91;
AM;1301209;Coari;13,66;
AM;1301308;Codajás;13,82;
AM;1301407;Eirunepé;25,28;
AM;1301506;Envira;26,31;
AM;1301605;Fonte Boa;13,93;
AM;1301654;Guajará;22,36;
AM;1301704;Humaitá;11,26;
AM;1301803;Ipixuna;24,16;
AM;1301852;Iranduba;8,86;
AM;1301902;Itacoatiara;6,06999999999999;
AM;1301951;Itamarati;26,44;
AM;1302009;Itapiranga;5,92;
AM;1302108;Japurá;12,39;
AM;1302207;Juruá;20,64;
AM;1302306;Jutaí;15,9;
AM;1302405;Lábrea;19,6;
AM;1302504;Manacapuru;11,03;
AM;1302553;Manaquiri;11,42;
AM;1302603;Manaus;2,98;
AM;1302702;Manicoré;10,44;
AM;1302801;Maraã;15,67;
AM;1302900;Maués;6,16;
AM;1303007;Nhamundá;6,78;
AM;1303106;Nova Olinda do Norte;8,98;
AM;1303205;Novo Airão;10,43;
AM;1303304;Novo Aripuanã;12,03;
AM;1303403;Parintins;4,06999999999999;
AM;1303502;Pauini;24,12;
AM;1303536;Presidente Figueiredo;8,59;
AM;1303569;Rio Preto da Eva;8,73;
AM;1303601;Santa Isabel do Rio Negro;15,9;
AM;1303700;Santo Antônio do Içá;14,37;
AM;1303809;São Gabriel da Cachoeira;9,40000000000001;
AM;1303908;São Paulo de Olivença;14,8;
AM;1303957;São Sebastião do Uatumã;5,94;
AM;1304005;Silves;5,51000000000001;
AM;1304062;Tabatinga;9,55;
AM;1304104;Tapauá;20,81;
AM;1304203;Tefé;9,84;
AM;1304237;Tonantins;13,12;
AM;1304260;Uarini;11,93;
AM;1304302;Urucará;5,77;
AM;1304401;Urucurituba;6,3;
AP;1600055;Serra do Navio;6,29000000000001;
AP;1600105;Amapá;10,47;
AP;1600154;Pedra Branca do Amaparí;8,7;
AP;1600204;Calçoene;10,1;
